City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Caravelas,BR,83.43,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
3,Phan Thiet,VN,77.38,overcast clouds,10.9333,108.1,Hotel Saigon-PT
5,Avarua,CK,80.6,broken clouds,-21.2078,-159.775,Paradise Inn
6,Saldanha,ZA,75.2,broken clouds,-33.0117,17.9442,Blue Bay Lodge
8,Namibe,AO,79.7,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
11,Lamu,KE,84.2,clear sky,-2.2717,40.902,Lamu House
13,Butaritari,KI,81.23,light rain,3.0707,172.7902,Isles Sunset Lodge
19,Doctor Juan Leon Mallorquin,PY,86.0,clear sky,-25.4,-55.2667,Hotel Puma S.A.
21,Rikitea,PF,77.13,scattered clouds,-23.1203,-134.9692,Pension Maro'i
26,Bredasdorp,ZA,75.2,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
29,Bambous Virieux,MU,81.0,few clouds,-20.3428,57.7575,Casa Tia Villa
33,Wahiawa,US,72.0,light rain,21.5028,-158.0236,Aloha Wahiawa
34,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
38,Jalu,LY,84.72,clear sky,29.0331,21.5482,صاحبة الفخامة
39,Port Elizabeth,ZA,69.8,clear sky,-33.918,25.5701,39 On Nile Guest House
41,Banda Aceh,ID,80.53,overcast clouds,5.5577,95.3222,Sulthan Hotel International
42,Bengkulu,ID,77.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
43,Sao Joao Da Barra,BR,84.2,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
45,Hermanus,ZA,70.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
51,Port Shepstone,ZA,70.84,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
54,Castro,BR,71.91,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
57,Cape Town,ZA,71.6,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,Kudat,MY,84.2,few clouds,6.8837,116.8477,Dream Garden Hotel
60,Cabedelo,BR,86.0,broken clouds,-6.9811,-34.8339,Hotel Pigalle
62,East London,ZA,75.2,clear sky,-33.0153,27.9116,Tu Casa
63,Alta Floresta,BR,87.8,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
64,Kruisfontein,ZA,71.01,clear sky,-34.0033,24.7314,Oyster Bay House Rental
67,Hithadhoo,MV,83.75,broken clouds,-0.6,73.0833,Scoop Guest House
70,Kudahuvadhoo,MV,83.98,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
73,Saint-Joseph,RE,82.4,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
77,Silva Jardim,BR,82.4,scattered clouds,-22.6508,-42.3917,Pousada Ipuca
80,Gladstone,AU,75.2,overcast clouds,-23.85,151.25,Highpoint International
81,Lata,PT,75.0,clear sky,40.1629,-8.3327,Casa Maquia
82,Mar Del Plata,AR,75.0,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
84,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
88,Muros,ES,75.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
89,Marsa Matruh,EG,84.2,clear sky,31.3525,27.2453,Beau Site
94,Ghanzi,BW,82.69,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
97,Sambava,MG,80.04,clear sky,-14.2667,50.1667,Melrose
99,That Phanom,TH,78.24,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
100,Hualmay,PE,75.22,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
101,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
105,Kattivakkam,IN,84.2,mist,13.2167,80.3167,Raj's villa
110,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
115,Empalme,MX,80.01,clear sky,27.9667,-110.8167,casa alejandro lopez
116,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
122,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
124,Tevaitoa,PF,80.78,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
127,Carutapera,BR,84.07,overcast clouds,-1.195,-46.02,Lidera
131,Acari,PE,81.3,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
136,Innisfail,AU,73.58,overcast clouds,-17.5333,146.0333,Moondarra Motel
139,Port Hedland,AU,77.0,clear sky,-20.3167,118.5667,The Esplanade Hotel
140,Arraial Do Cabo,BR,82.4,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
142,Puerto Ayora,EC,80.6,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
144,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
146,Meulaboh,ID,77.92,overcast clouds,4.1363,96.1285,Kost Pria
149,Quatre Cocos,MU,81.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
151,Bourail,NC,72.63,broken clouds,-21.5667,165.4833,Motel Allamanda
152,Nushki,PK,82.02,overcast clouds,29.5542,66.0215,Jahangir Hotel Noshki
156,Cururupu,BR,82.8,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
157,Vila,PT,75.0,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
159,Kahului,US,69.8,light rain,20.8947,-156.47,Maui Seaside Hotel
162,Kutum,SD,83.8,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
163,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
168,Saint-Pierre,RE,82.4,clear sky,-21.3393,55.4781,Lindsey Hôtel
172,Saint-Philippe,RE,82.4,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
173,Yanam,IN,86.0,haze,16.7333,82.2167,The Regency Hotel
176,Sechura,PE,79.88,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
182,Umm Lajj,SA,74.93,clear sky,25.0213,37.2685,Moon light Furnished Units
183,Belmonte,BR,86.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
186,Jatai,BR,88.16,broken clouds,-17.8814,-51.7144,La Vitre Hotel
187,Jibuti,DJ,86.0,clear sky,11.5,42.5,Orchid Main Camp Goubet
189,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
194,Dakar,SN,77.0,clear sky,14.6937,-17.4441,Redface Studios Meublés
195,Boa Vista,BR,86.0,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
196,Manono,CD,77.65,light rain,-7.3,27.4167,Hotel hewa bora
202,Alofi,NU,71.6,overcast clouds,-19.0595,-169.9187,Taloa Heights
205,Atuona,PF,80.29,broken clouds,-9.8,-139.0333,Villa Enata
212,Sorong,ID,81.75,scattered clouds,-0.8833,131.25,The Waigo Hotel
213,Salalah,OM,82.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
214,San Patricio,US,72.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
225,Yulara,AU,69.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
227,Tabuk,PH,72.57,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
228,Bima,ID,76.3,overcast clouds,-8.4667,118.7167,Lambitu Hotel
231,Port Alfred,ZA,69.01,clear sky,-33.5906,26.891,The Halyards Hotel
232,Chuy,UY,76.48,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
236,Dicabisagan,PH,77.79,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
237,Las Vegas,US,75.0,clear sky,36.175,-115.1372,Plaza Hotel & Casino
240,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
246,Maragogi,BR,84.22,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
248,Madang,PG,75.88,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
249,Culasi,PH,79.93,broken clouds,11.4272,122.056,LS Suites
250,Sola,VU,81.57,light rain,-13.8833,167.55,Leumerus Bungalows
251,Daru,PG,76.87,broken clouds,-9.0763,143.2092,Daru Lodge
252,Suez,EG,71.04,clear sky,29.9737,32.5263,Green House
255,Kavieng,PG,77.09,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
256,Sao Gabriel Da Cachoeira,BR,80.6,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
257,Iracoubo,GF,79.7,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
258,Cayenne,GF,77.0,very heavy rain,4.9333,-52.3333,Hôtel Le Dronmi
259,Le Vauclin,MQ,86.0,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
261,Pangkalanbuun,ID,74.53,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
266,Kirakira,SB,79.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
267,Doha,QA,75.2,clear sky,25.2867,51.5333,Doha Marriott Hotel
269,Taltal,CL,69.39,broken clouds,-25.4,-70.4833,Residencial Karime
274,Sao Filipe,CV,77.29,few clouds,14.8961,-24.4956,Tortuga B&B
276,Faanui,PF,81.1,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
278,Barcelos,PT,77.0,clear sky,41.5388,-8.6151,Hotel Do Terço
281,Chandler,US,81.0,clear sky,33.3062,-111.8412,Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort
283,Acajutla,SV,77.0,clear sky,13.5928,-89.8275,asi es
288,Manavalakurichi,IN,86.0,haze,8.1333,77.3,Udaya Boys Hostel
290,Isangel,VU,76.12,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
293,Dalbandin,PK,86.07,broken clouds,28.8947,64.4101,Sanjrani House
305,Gizo,SB,82.27,moderate rain,-8.103,156.8419,Imagination Island
307,Somotillo,NI,87.8,scattered clouds,13.0433,-86.9064,Las Lomas Somotillo
