City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Caravelas,BR,-17.7125,-39.2481,83.43,60,84,9.75,broken clouds
1,Whitianga,NZ,-36.8333,175.7,62.01,77,24,4.0,few clouds
2,Tema,GH,5.667,-0.0166,89.6,62,0,17.27,clear sky
3,Phan Thiet,VN,10.9333,108.1,77.38,87,97,10.58,overcast clouds
4,Arlit,NE,18.7369,7.3853,93.88,4,0,2.19,clear sky
5,Avarua,CK,-21.2078,-159.775,80.6,83,75,12.66,broken clouds
6,Saldanha,ZA,-33.0117,17.9442,75.2,60,72,17.27,broken clouds
7,Torbay,CA,47.6666,-52.7314,45.0,100,90,16.11,mist
8,Namibe,AO,-15.1961,12.1522,79.7,83,100,13.24,overcast clouds
9,Garden City,US,42.3256,-83.331,61.0,35,20,3.44,few clouds
10,Chokurdakh,RU,70.6333,147.9167,-26.95,100,19,4.97,few clouds
11,Lamu,KE,-2.2717,40.902,84.2,79,1,13.8,clear sky
12,Kongoussi,BF,13.3258,-1.5347,101.55,4,1,3.65,clear sky
13,Butaritari,KI,3.0707,172.7902,81.23,79,37,9.64,light rain
14,Henties Bay,NA,-22.116,14.2845,71.01,78,4,8.99,clear sky
15,Palana,RU,59.1167,159.9667,15.15,84,100,4.76,overcast clouds
16,Tiksi,RU,71.6872,128.8694,-21.19,100,76,4.68,broken clouds
17,Esperance,AU,-33.8667,121.9,62.6,88,7,14.97,clear sky
18,Kodiak,US,57.79,-152.4072,32.0,80,1,3.44,clear sky
19,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,86.0,48,0,16.11,clear sky
20,Gillette,US,44.2911,-105.5022,62.01,23,1,4.61,clear sky
21,Rikitea,PF,-23.1203,-134.9692,77.13,69,31,14.76,scattered clouds
22,Hobart,AU,-42.8794,147.3294,57.2,62,75,9.22,broken clouds
23,Vardo,NO,70.3705,31.1107,35.6,87,75,24.16,broken clouds
24,Giulvaz,RO,45.5489,20.9844,46.0,87,75,12.66,broken clouds
25,Ponta Do Sol,PT,32.6667,-17.1,64.4,63,40,3.44,scattered clouds
26,Bredasdorp,ZA,-34.5322,20.0403,75.2,57,86,14.97,overcast clouds
27,Cherskiy,RU,68.75,161.3,-15.36,100,96,2.82,overcast clouds
28,Marzuq,YE,14.4,46.4667,75.54,31,10,9.51,clear sky
29,Bambous Virieux,MU,-20.3428,57.7575,81.0,78,20,8.05,few clouds
30,Cravo Norte,CO,6.3017,-70.2041,96.17,35,94,5.55,overcast clouds
31,Srednekolymsk,RU,67.45,153.6833,-13.63,100,55,6.17,broken clouds
32,Pevek,RU,69.7008,170.3133,-15.93,98,94,7.81,overcast clouds
33,Wahiawa,US,21.5028,-158.0236,72.0,73,75,8.05,light rain
34,Vaini,TO,-21.2,-175.2,75.2,83,75,5.75,broken clouds
35,Byron Bay,AU,-28.65,153.6167,68.0,94,75,6.91,broken clouds
36,Manubul,PH,5.4732,120.7986,82.15,76,81,4.43,broken clouds
37,Te Anau,NZ,-45.4167,167.7167,55.89,68,23,11.92,light rain
38,Jalu,LY,29.0331,21.5482,84.72,7,0,11.39,clear sky
39,Port Elizabeth,ZA,-33.918,25.5701,69.8,64,0,19.57,clear sky
40,Saint George,US,37.1041,-113.5841,55.4,26,1,2.91,clear sky
41,Banda Aceh,ID,5.5577,95.3222,80.53,78,90,7.02,overcast clouds
42,Bengkulu,ID,-3.8004,102.2655,77.43,84,100,8.99,overcast clouds
43,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,54,75,11.5,broken clouds
